iter	Passed	Remaining
1292	56809	9094
1293	56853	9050
1294	56896	9006
1295	56942	8963
1296	56985	8919
1297	57029	8875
1298	57074	8831
1299	57119	8787
1300	57161	8743
1301	57204	8699
1302	57249	8655
1303	57290	8611
1304	57335	8567
1305	57380	8523
1306	57421	8479
1307	57463	8434
1308	57507	8391
1309	57550	8347
1310	57593	8302
1311	57636	8258
1312	57679	8214
1313	57723	8170
1314	57766	8126
1315	57810	8082
1316	57854	8039
1317	57897	7995
1318	57939	7950
1319	57980	7906
1320	58024	7862
1321	58069	7818
1322	58112	7774
1323	58154	7730
1324	58199	7686
1325	58241	7642
1326	58285	7598
1327	58328	7554
1328	58373	7510
1329	58415	7466
1330	58458	7422
1331	58500	7378
1332	58542	7334
1333	58583	7290
1334	58626	7246
1335	58668	7201
1336	58713	7158
1337	58755	7113
1338	58798	7069
1339	58843	7026
1340	58885	6981
1341	58929	6938
1342	58971	6893
1343	59013	6849
1344	59057	6805
1345	59098	6761
1346	59143	6717
1347	59184	6673
1348	59228	6629
1349	59271	6585
1350	59315	6541
1351	59360	6498
1352	59404	6454
1353	59449	6410
1354	59492	6366
1355	59559	6324
1356	59608	6281
1357	59651	6237
1358	59693	6193
1359	59737	6149
1360	59781	6105
1361	59823	6061
1362	59866	6017
1363	59908	5973
1364	59953	5929
1365	59998	5885
1366	60044	5841
1367	60086	5797
1368	60128	5753
1369	60172	5709
1370	60215	5665
1371	60257	5621
1372	60300	5577
1373	60344	5533
1374	60388	5489
1375	60429	5445
1376	60473	5401
1377	60515	5357
1378	60559	5313
1379	60601	5269
1380	60643	5225
1381	60686	5181
1382	60729	5137
1383	60772	5093
1384	60815	5049
1385	60858	5005
1386	60902	4961
1387	60944	4917
1388	60986	4873
1389	61032	4829
1390	61080	4786
1391	61123	4742
1392	61170	4698
1393	61213	4654
1394	61254	4610
1395	61299	4566
1396	61340	4522
1397	61382	4478
1398	61424	4434
1399	61466	4390
1400	61506	4346
1401	61550	4302
1402	61594	4258
1403	61636	4214
1404	61679	4170
1405	61723	4126
1406	61766	4082
1407	61808	4038
1408	61851	3994
1409	61894	3950
1410	61938	3906
1411	61982	3862
1412	62025	3818
1413	62068	3775
1414	62114	3731
1415	62154	3687
1416	62198	3643
1417	62240	3599
1418	62280	3555
1419	62325	3511
1420	62367	3467
1421	62412	3423
1422	62455	3379
1423	62498	3335
1424	62540	3291
1425	62582	3247
1426	62627	3203
1427	62671	3159
1428	62715	3116
1429	62760	3072
1430	62802	3028
1431	62846	2984
1432	62889	2940
1433	62931	2896
1434	62974	2852
1435	63017	2808
1436	63060	2764
1437	63104	2720
1438	63144	2676
1439	63185	2632
1440	63228	2588
1441	63273	2544
1442	63315	2501
1443	63357	2457
1444	63401	2413
1445	63442	2369
1446	63488	2325
1447	63533	2281
1448	63578	2237
1449	63620	2193
1450	63662	2149
1451	63707	2106
1452	63749	2062
1453	63792	2018
1454	63834	1974
1455	63877	1930
1456	63919	1886
1457	63963	1842
1458	64007	1798
1459	64050	1754
1460	64094	1710
1461	64138	1667
1462	64182	1623
1463	64224	1579
1464	64266	1535
1465	64310	1491
1466	64353	1447
1467	64397	1403
1468	64444	1359
1469	64486	1316
1470	64532	1272
1471	64573	1228
1472	64615	1184
1473	64661	1140
1474	64705	1096
1475	64749	1052
1476	64794	1008
1477	64838	965
1478	64881	921
1479	64922	877
1480	64967	833
1481	65014	789
1482	65057	745
1483	65100	701
1484	65141	657
1485	65183	614
1486	65227	570
1487	65273	526
1488	65313	482
1489	65355	438
1490	65397	394
1491	65440	350
1492	65483	307
1493	65527	263
1494	65569	219
1495	65625	175
1496	65669	131
1497	65710	87
1498	65754	43
1499	65800	0
